"time (m)","v","V/min","wh"
0,47.81,0.000,0
  0.01,46.98,86.451,   0.0
  0.02,46.95,2.808,   0.0
  0.03,46.94,1.044,   0.1
  0.04,46.92,1.875,   0.1
  0.05,46.90,1.901,   0.1
  0.06,46.89,1.086,   0.1
  0.07,46.88,1.036,   0.2
  0.08,46.87,1.022,   0.2
  0.09,46.86,1.021,   0.2
  0.10,46.85,0.985,   0.2
  0.11,46.84,1.094,   0.2
  0.12,46.83,0.968,   0.3
  0.13,46.82,1.027,   0.3
  0.14,46.81,1.005,   0.3
  0.16,46.80,0.507,   0.4
  0.17,46.79,1.022,   0.4
  0.19,46.78,0.516,   0.4
  0.20,46.77,1.016,   0.4
  0.22,46.76,0.516,   0.5
  0.23,46.75,0.977,   0.5
  0.24,46.74,1.042,   0.5
  0.26,46.73,0.507,   0.6
  0.28,46.72,0.482,   0.6
  0.29,46.71,1.023,   0.7
  0.31,46.70,0.508,   0.7
  0.33,46.69,0.484,   0.7
  0.34,46.68,0.982,   0.8
  0.36,46.67,0.476,   0.8
  0.38,46.66,0.527,   0.9
  0.39,46.65,1.003,   0.9
  0.43,46.64,0.260,   1.0
  0.44,46.63,1.088,   1.0
  0.45,46.62,0.536,   1.0
  0.48,46.61,0.339,   1.1
  0.49,46.60,1.002,   1.1
  0.52,46.59,0.337,   1.2
  0.53,46.58,1.022,   1.2
  0.54,46.57,0.981,   1.2
  0.57,46.56,0.350,   1.3
  0.59,46.55,0.507,   1.3
  0.63,46.54,0.263,   1.4
  0.64,46.53,1.010,   1.4
  0.66,46.52,0.547,   1.5
  0.68,46.51,0.500,   1.5
  0.70,46.50,0.484,   1.6
  0.73,46.49,0.338,   1.6
  0.74,46.48,1.121,   1.7
  0.76,46.47,0.510,   1.7
  0.79,46.46,0.337,   1.8
  0.81,46.45,0.505,   1.8
  0.83,46.44,0.343,   1.9
  0.86,46.43,0.337,   1.9
  0.87,46.42,1.021,   2.0
  0.89,46.41,0.518,   2.0
  0.92,46.40,0.354,   2.1
  0.94,46.39,0.505,   2.1
  0.97,46.38,0.337,   2.2
  0.99,46.37,0.504,   2.2
  1.02,46.36,0.335,   2.3
  1.04,46.35,0.491,   2.3
  1.07,46.34,0.341,   2.4
  1.09,46.33,0.501,   2.5
  1.11,46.32,0.502,   2.5
  1.14,46.31,0.340,   2.6
  1.16,46.30,0.524,   2.6
  1.19,46.29,0.335,   2.7
  1.22,46.28,0.342,   2.7
  1.25,46.27,0.360,   2.8
  1.27,46.26,0.348,   2.9
  1.29,46.25,0.536,   2.9
  1.32,46.24,0.350,   3.0
  1.34,46.23,0.502,   3.0
  1.38,46.22,0.259,   3.1
  1.40,46.21,0.485,   3.1
  1.44,46.20,0.260,   3.2
  1.46,46.19,0.479,   3.3
  1.48,46.18,0.513,   3.3
  1.51,46.17,0.349,   3.4
  1.53,46.16,0.507,   3.4
  1.57,46.15,0.260,   3.5
  1.58,46.14,1.078,   3.5
  1.62,46.13,0.255,   3.6
  1.65,46.12,0.255,   3.7
  1.67,46.11,0.514,   3.7
  1.70,46.10,0.326,   3.8
  1.75,46.09,0.245,   3.9
  1.77,46.08,0.496,   3.9
  1.81,46.07,0.248,   4.0
  1.83,46.06,0.466,   4.1
  1.86,46.05,0.330,   4.1
  1.88,46.04,0.493,   4.2
  1.91,46.03,0.333,   4.3
  1.96,46.02,0.200,   4.4
  1.97,46.01,1.042,   4.4
  2.00,46.00,0.318,   4.5
  2.04,45.99,0.250,   4.5
  2.07,45.98,0.344,   4.6
  2.09,45.97,0.522,   4.6
  2.12,45.96,0.320,   4.7
  2.16,45.95,0.240,   4.8
  2.19,45.94,0.334,   4.9
  2.24,45.93,0.204,   5.0
  2.25,45.92,1.042,   5.0
  2.29,45.91,0.246,   5.1
  2.33,45.90,0.262,   5.2
  2.35,45.89,0.495,   5.2
  2.39,45.88,0.240,   5.3
  2.42,45.87,0.325,   5.4
  2.45,45.86,0.336,   5.4
  2.47,45.85,0.501,   5.5
  2.53,45.84,0.170,   5.6
  2.56,45.83,0.342,   5.7
  2.59,45.82,0.334,   5.7
  2.61,45.81,0.515,   5.8
  2.66,45.80,0.198,   5.9
  2.69,45.79,0.355,   6.0
  2.70,45.78,0.930,   6.0
  2.76,45.77,0.147,   6.1
  2.78,45.76,0.511,   6.2
  2.82,45.75,0.263,   6.2
  2.86,45.74,0.260,   6.3
  2.88,45.73,0.490,   6.4
  2.92,45.72,0.253,   6.5
  2.95,45.71,0.348,   6.5
  2.99,45.70,0.249,   6.6
  3.03,45.69,0.242,   6.7
  3.07,45.68,0.256,   6.8
  3.10,45.67,0.349,   6.8
  3.14,45.66,0.250,   6.9
  3.17,45.65,0.341,   7.0
  3.21,45.64,0.253,   7.1
  3.24,45.63,0.335,   7.1
  3.27,45.62,0.329,   7.2
  3.32,45.61,0.175,   7.3
  3.35,45.60,0.348,   7.4
  3.39,45.59,0.249,   7.5
  3.42,45.58,0.326,   7.5
  3.48,45.57,0.174,   7.7
  3.50,45.56,0.481,   7.7
  3.53,45.55,0.335,   7.8
  3.57,45.54,0.249,   7.9
  3.62,45.53,0.216,   8.0
  3.67,45.52,0.200,   8.1
  3.68,45.51,0.950,   8.1
  3.74,45.50,0.175,   8.2
  3.77,45.49,0.334,   8.3
  3.83,45.48,0.166,   8.4
  3.86,45.47,0.332,   8.5
  3.88,45.46,0.475,   8.5
  3.93,45.45,0.194,   8.6
  3.96,45.44,0.336,   8.7
  4.02,45.43,0.173,   8.8
  4.05,45.42,0.347,   8.9
  4.08,45.41,0.329,   8.9
  4.12,45.40,0.247,   9.0
  4.18,45.39,0.169,   9.2
  4.20,45.38,0.501,   9.2
  4.25,45.37,0.175,   9.3
  4.29,45.36,0.253,   9.4
  4.32,45.35,0.338,   9.5
  4.36,45.34,0.260,   9.5
  4.39,45.33,0.348,   9.6
  4.45,45.32,0.173,   9.7
  4.49,45.31,0.253,   9.8
  4.52,45.30,0.332,   9.9
  4.58,45.29,0.169,  10.0
  4.59,45.28,0.536,  10.0
  4.65,45.27,0.171,  10.2
  4.70,45.26,0.208,  10.3
  4.75,45.25,0.204,  10.4
  4.76,45.24,0.970,  10.4
  4.82,45.23,0.168,  10.5
  4.87,45.22,0.206,  10.6
  4.89,45.21,0.493,  10.7
  4.96,45.20,0.142,  10.8
  5.00,45.19,0.246,  10.9
  5.05,45.18,0.210,  11.0
  5.09,45.17,0.252,  11.1
  5.11,45.16,0.501,  11.1
  5.17,45.15,0.170,  11.3
  5.20,45.14,0.265,  11.3
  5.26,45.13,0.194,  11.4
  5.29,45.12,0.260,  11.5
  5.33,45.11,0.256,  11.6
  5.38,45.10,0.205,  11.7
  5.42,45.09,0.256,  11.8
  5.47,45.08,0.206,  11.9
  5.53,45.07,0.174,  12.0
  5.56,45.06,0.344,  12.1
  5.60,45.05,0.254,  12.2
  5.66,45.04,0.164,  12.3
  5.71,45.03,0.206,  12.4
  5.75,45.02,0.247,  12.5
