ht	m0	dm
5	104.0	1.30
10	80.5	1.05
25	62.3	1.08
55	48.6	1.06
95	45.4	1.04
145	44.7	1.02
200	44.1	1.01
285	44.0	1.0
385	44.0	1.0
520	44.0	1.0
670	43.5	1.0
